drone_id,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,altitude,weather_force_x,weather_force_y,weather_force_z,thermal_y,downdraft_y,active_layers,event,col_normal_x,col_normal_y,col_normal_z,impact_speed
drone_1c8588ea,12.900,4.500,10.000,-1.500,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,Thermal|Downdraft|Steady Wind|Gust|Rain|Fog,,,,
drone_ab00eda7,12.900,-4.500,10.000,1.500,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,Thermal|Downdraft|Steady Wind|Gust|Rain|Fog,,,,
drone_8cda7634,12.900,-1.500,10.000,1.500,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,Thermal|Downdraft|Steady Wind|Gust|Rain|Fog,,,,
drone_316ac2d3,12.900,1.500,10.000,1.500,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,Thermal|Downdraft|Steady Wind|Gust|Rain|Fog,,,,
drone_452e4390,12.900,4.500,10.000,1.500,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,Thermal|Downdraft|Steady Wind|Gust|Rain|Fog,,,,
drone_f0156f63,12.920,-4.500,10.000,-1.500,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,Thermal|Downdraft|Steady Wind|Gust|Rain|Fog,,,,
drone_0dd07928,12.920,-1.500,10.000,-1.500,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,Thermal|Downdraft|Steady Wind|Gust|Rain|Fog,,,,
drone_afd4e446,12.920,1.500,10.000,-1.500,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,Thermal|Downdraft|Steady Wind|Gust|Rain|Fog,,,,
drone_1c8588ea,12.920,4.500,10.000,-1.500,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,Thermal|Downdraft|Steady Wind|Gust|Rain|Fog,,,,
drone_ab00eda7,12.920,-4.500,10.000,1.500,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,Thermal|Downdraft|Steady Wind|Gust|Rain|Fog,,,,
