drone_id,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,speed,altitude,weather_force_x,weather_force_y,weather_force_z,thermal_y,downdraft_y,active_layers,event,col_normal_x,col_normal_y,col_normal_z,impact_speed
drone_b0e36886,195.920,-4.500,16.433,-1.500,0.000,10.963,0.000,10.963,16.433,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,195.940,-4.500,16.656,-1.500,0.000,11.119,0.000,11.119,16.656,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,195.960,-4.500,16.881,-1.500,0.000,11.273,0.000,11.273,16.881,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,195.980,-4.500,17.110,-1.500,0.000,11.426,0.000,11.426,17.110,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.000,-4.500,17.341,-1.500,0.000,11.577,0.000,11.577,17.341,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.020,-4.500,17.576,-1.500,0.000,11.727,0.000,11.727,17.576,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.040,-4.500,17.813,-1.500,0.000,11.875,0.000,11.875,17.813,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.060,-4.500,18.054,-1.500,0.000,12.022,0.000,12.022,18.054,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.080,-4.500,18.297,-1.500,0.000,12.167,0.000,12.167,18.297,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.100,-4.500,18.543,-1.500,0.000,12.311,0.000,12.311,18.543,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.120,-4.500,18.792,-1.500,0.000,12.453,0.000,12.453,18.792,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.140,-4.500,19.044,-1.500,0.000,12.594,0.000,12.594,19.044,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.160,-4.500,19.299,-1.500,0.000,12.734,0.000,12.734,19.299,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.180,-4.500,19.556,-1.500,0.000,12.872,0.000,12.872,19.556,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.200,-4.500,19.816,-1.500,0.000,13.009,0.000,13.009,19.816,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.220,-4.500,20.079,-1.500,0.000,13.144,0.000,13.144,20.079,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.240,-4.500,20.336,-1.500,0.000,12.818,0.000,12.818,20.336,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.260,-4.497,20.457,-1.497,0.156,6.081,0.156,6.085,20.457,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.280,-4.491,20.579,-1.491,0.307,6.081,0.307,6.096,20.579,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.300,-4.482,20.701,-1.482,0.455,6.081,0.455,6.115,20.701,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.320,-4.470,20.822,-1.470,0.599,6.081,0.599,6.140,20.822,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.340,-4.455,20.944,-1.455,0.741,6.081,0.741,6.171,20.944,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.360,-4.437,21.065,-1.437,0.879,6.081,0.879,6.207,21.065,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.380,-4.417,21.187,-1.417,1.014,6.081,1.014,6.248,21.187,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.400,-4.394,21.309,-1.394,1.146,6.081,1.146,6.294,21.309,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.420,-4.369,21.430,-1.369,1.275,6.082,1.275,6.343,21.430,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.440,-4.341,21.552,-1.341,1.400,6.082,1.401,6.396,21.552,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.460,-4.310,21.674,-1.310,1.523,6.082,1.523,6.452,21.674,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.480,-4.277,21.795,-1.277,1.642,6.082,1.643,6.511,21.795,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.500,-4.242,21.917,-1.242,1.759,6.082,1.759,6.571,21.917,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.520,-4.205,22.039,-1.205,1.872,6.082,1.872,6.634,22.039,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.540,-4.165,22.160,-1.165,1.982,6.083,1.983,6.698,22.160,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.560,-4.123,22.282,-1.123,2.090,6.083,2.090,6.763,22.282,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.580,-4.079,22.404,-1.079,2.194,6.083,2.194,6.829,22.404,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.600,-4.033,22.525,-1.033,2.295,6.083,2.296,6.895,22.525,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
drone_b0e36886,196.620,-3.986,22.647,-0.985,2.393,6.084,2.394,6.962,22.647,0.000,0.000,0.000,0.040,0.000,Thermal|Downdraft|Rain|Fog,,,,
